LAT;;;;;-33.9258;-33.9258;-33.9258;-33.9258;-33.9258;-33.9258;-33.9258;-33.9258;-33.9258
LON;;;;;18.4232;18.4232;18.4232;18.4232;18.4232;18.4232;18.4232;18.4232;18.4232
ASL;;;;;25.0000;25.0000;25.0000;25.0000;25.0000;25.0000;25.0000;25.0000;25.0000
CITY;;;;;Cape Town;Cape Town;Cape Town;Cape Town;Cape Town;Cape Town;Cape Town;Cape Town;Cape Town
DOMAIN;;;;;NEMSAF01;NEMSAF01;NEMSAF01;NEMSAF01;NEMSAF01;NEMSAF01;NEMSAF01;NEMSAF01;NEMSAF01
LEVEL;;;;;2 m above gnd;2 m above gnd;MSL;sfc;sfc;sfc;sfc;10 m above gnd;10 m above gnd
NAME;;;;;Temperature;Relative Humidity;Mean Sea Level Pressure;Total Precipitation (high resolution);Total Cloud Cover;Sunshine Duration;Shortwave Radiation;Wind Speed;Wind Direction
UNIT;;;;;°C;%;hPa;mm;%;min;W/m2;km/h;°
AGGREGATION;;;;;;;;;;;;;
UTC_OFFSET;;;;;2;2;2;2;2;2;2;2;2

Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Relative Humidity  [2 m above gnd];Mean Sea Level Pressure  [MSL];Total Precipitation (high resolution)  [sfc];Total Cloud Cover  [sfc];Sunshine Duration  [sfc];Shortwave Radiation  [sfc];Wind Speed  [10 m above gnd];Wind Direction  [10 m above gnd]
2019;04;25;00;00;17.55;87.00;1017.30;0.00;0.00;-999.00;0.00;9.73;141.01
2019;04;25;01;00;17.18;88.00;1017.30;0.00;0.00;0.00;0.00;9.22;141.34
2019;04;25;02;00;16.86;89.00;1017.20;0.00;0.00;0.00;0.00;8.67;138.37
2019;04;25;03;00;16.68;90.00;1017.10;0.00;0.00;0.00;0.00;7.90;133.15
2019;04;25;04;00;16.63;89.00;1016.80;0.00;0.00;0.00;0.00;7.70;127.41
2019;04;25;05;00;16.72;87.00;1016.40;0.00;0.00;0.00;0.00;6.99;124.51
2019;04;25;06;00;16.58;88.00;1016.20;0.00;0.00;0.00;0.00;5.32;118.30
2019;04;25;07;00;16.61;87.00;1016.20;0.00;0.00;0.00;0.00;4.38;99.46
2019;04;25;08;00;16.94;85.00;1016.40;0.00;0.00;45.05;31.15;4.02;79.70
2019;04;25;09;00;18.51;78.00;1016.50;0.00;0.00;60.00;199.36;2.41;63.43
2019;04;25;10;00;21.02;66.00;1016.70;0.00;0.00;60.00;372.91;3.26;353.66
2019;04;25;11;00;22.60;58.00;1016.60;0.00;0.00;60.00;513.53;6.37;312.71
2019;04;25;12;00;23.29;56.00;1016.50;0.00;0.00;60.00;607.87;10.25;288.43
2019;04;25;13;00;23.31;56.00;1016.10;0.00;0.00;60.00;650.59;13.08;277.91
2019;04;25;14;00;25.18;49.00;1015.50;0.00;0.00;60.00;637.24;12.50;258.37
2019;04;25;15;00;24.80;51.00;1015.50;0.00;0.00;60.00;569.60;12.30;249.44
2019;04;25;16;00;24.12;54.00;1015.60;0.00;0.00;60.00;451.23;11.30;239.35
2019;04;25;17;00;23.32;57.00;1015.60;0.00;0.00;60.00;292.81;8.40;226.74
2019;04;25;18;00;22.35;61.00;1015.70;0.00;0.00;60.00;113.03;5.15;204.78
2019;04;25;19;00;21.29;66.00;1016.10;0.00;0.00;13.74;0.89;4.68;180.00
2019;04;25;20;00;20.11;73.00;1016.30;0.00;0.30;0.00;0.00;4.45;165.96
2019;04;25;21;00;18.92;79.00;1016.40;0.00;0.60;0.00;0.00;4.20;149.04
2019;04;25;22;00;17.86;84.00;1016.60;0.00;9.00;0.00;0.00;4.51;151.39
